farmer_id,district,nr,yield_t_ha,area_ha,confidence,est_production_t
ZW-MUR-0001,Murehwa,NR II,2.64,1.33,0.88,3.51
ZW-MUR-0002,Murehwa,NR II,3.47,2.07,0.81,7.18
ZW-MUR-0003,Murehwa,NR II,2.89,1.81,0.96,5.23
ZW-MUR-0004,Murehwa,NR II,3.71,1.55,0.89,5.75
ZW-MUR-0005,Murehwa,NR II,3.13,1.29,0.82,4.04
ZW-MUR-0006,Murehwa,NR II,2.55,2.04,0.75,5.20
ZW-MUR-0007,Murehwa,NR II,3.37,1.78,0.90,6.00
ZW-MUR-0008,Murehwa,NR II,2.79,1.52,0.83,4.24
ZW-MUR-0009,Murehwa,NR II,3.61,1.26,0.76,4.55
ZW-MUR-0010,Murehwa,NR II,3.03,2.00,0.91,6.06
ZW-MUR-0011,Murehwa,NR II,3.85,1.75,0.84,6.74
ZW-MUR-0012,Murehwa,NR II,3.27,1.49,0.77,4.87
ZW-MUR-0013,Murehwa,NR II,2.69,1.23,0.92,3.31
ZW-MUR-0014,Murehwa,NR II,3.51,1.97,0.85,6.91
ZW-MUR-0015,Murehwa,NR II,2.93,1.71,0.78,5.01
ZW-MUR-0016,Murehwa,NR II,3.76,1.45,0.94,5.45
ZW-MUR-0017,Murehwa,NR II,3.18,1.20,0.87,3.82
ZW-MUR-0018,Murehwa,NR II,2.60,1.94,0.80,5.04
ZW-MUR-0019,Murehwa,NR II,3.42,1.68,0.95,5.75
ZW-MUR-0020,Murehwa,NR II,2.84,1.42,0.88,4.03
ZW-MUR-0021,Murehwa,NR II,3.66,1.16,0.81,4.25
ZW-MUR-0022,Murehwa,NR II,3.08,1.91,0.96,5.88
ZW-MUR-0023,Murehwa,NR II,2.50,1.65,0.89,4.13
ZW-MUR-0024,Murehwa,NR II,3.32,1.39,0.82,4.61
ZW-MUR-0025,Murehwa,NR II,2.74,1.13,0.75,3.10
ZW-MUR-0026,Murehwa,NR II,3.56,1.87,0.90,6.66
ZW-MUR-0027,Murehwa,NR II,2.98,1.62,0.83,4.83
ZW-MUR-0028,Murehwa,NR II,3.80,1.36,0.76,5.17
ZW-MUR-0029,Murehwa,NR II,3.22,1.10,0.91,3.54
ZW-MUR-0030,Murehwa,NR II,2.64,1.84,0.84,4.86
ZW-MUR-0031,Murehwa,NR II,3.47,1.58,0.77,5.48
ZW-MUR-0032,Murehwa,NR II,2.89,1.33,0.92,3.84
ZW-MUR-0033,Murehwa,NR II,3.71,2.07,0.85,7.68
ZW-MUR-0034,Murehwa,NR II,3.13,1.81,0.78,5.67
ZW-MUR-0035,Murehwa,NR II,2.55,1.55,0.94,3.95
ZW-MUR-0036,Murehwa,NR II,3.37,1.29,0.87,4.35
ZW-MUR-0037,Murehwa,NR II,2.79,2.04,0.80,5.69
ZW-MUR-0038,Murehwa,NR II,3.61,1.78,0.95,6.43
ZW-MUR-0039,Murehwa,NR II,3.03,1.52,0.88,4.61
ZW-MUR-0040,Murehwa,NR II,3.85,1.26,0.81,4.85
ZW-MUR-0041,Murehwa,NR II,3.27,2.00,0.96,6.54
ZW-MUR-0042,Murehwa,NR II,2.69,1.75,0.89,4.71
ZW-MUR-0043,Murehwa,NR II,3.51,1.49,0.82,5.23
ZW-MUR-0044,Murehwa,NR II,2.93,1.23,0.75,3.60
ZW-MUR-0045,Murehwa,NR II,3.76,1.97,0.90,7.41
ZW-MUR-0046,Murehwa,NR II,3.18,1.71,0.83,5.44
ZW-MUR-0047,Murehwa,NR II,2.60,1.45,0.76,3.77
ZW-MUR-0048,Murehwa,NR II,3.42,1.20,0.91,4.10
ZW-MUR-0049,Murehwa,NR II,2.84,1.94,0.84,5.51
ZW-MUR-0050,Murehwa,NR II,3.66,1.68,0.77,6.15
ZW-MUR-0051,Murehwa,NR II,3.08,1.42,0.92,4.37
ZW-MUR-0052,Murehwa,NR II,2.50,1.16,0.85,2.90
ZW-MUR-0053,Murehwa,NR II,3.32,1.91,0.78,6.34
ZW-MUR-0054,Murehwa,NR II,2.74,1.65,0.94,4.52
ZW-MUR-0055,Murehwa,NR II,3.56,1.39,0.87,4.95
ZW-MUR-0056,Murehwa,NR II,2.98,1.13,0.80,3.37
ZW-MUR-0057,Murehwa,NR II,3.80,1.87,0.95,7.11
ZW-MUR-0058,Murehwa,NR II,3.22,1.62,0.88,5.22
ZW-MUR-0059,Murehwa,NR II,2.64,1.36,0.81,3.59
ZW-MUR-0060,Murehwa,NR II,3.47,1.10,0.96,3.82
ZW-MUR-0061,Murehwa,NR II,2.89,1.84,0.89,5.32
ZW-MUR-0062,Murehwa,NR II,3.71,1.58,0.82,5.86
ZW-MUR-0063,Murehwa,NR II,3.13,1.33,0.75,4.16
ZW-MUR-0064,Murehwa,NR II,2.55,2.07,0.90,5.28
ZW-MUR-0065,Murehwa,NR II,3.37,1.81,0.83,6.10
ZW-GOR-0066,Goromonzi,NR II,2.84,1.53,0.90,4.35
ZW-GOR-0067,Goromonzi,NR II,3.67,2.27,0.83,8.33
ZW-GOR-0068,Goromonzi,NR II,3.09,2.01,0.98,6.21
ZW-GOR-0069,Goromonzi,NR II,3.91,1.75,0.91,6.84
ZW-GOR-0070,Goromonzi,NR II,3.33,1.49,0.84,4.96
ZW-GOR-0071,Goromonzi,NR II,2.75,2.24,0.77,6.16
ZW-GOR-0072,Goromonzi,NR II,3.57,1.98,0.92,7.07
ZW-GOR-0073,Goromonzi,NR II,2.99,1.72,0.85,5.14
ZW-GOR-0074,Goromonzi,NR II,3.81,1.46,0.78,5.56
